operator_id,calls_count,call_duration,calls_attended,is_internal_call,missed_rate,avg_duration,efficiency,z_volume,z_duration,z_losses,avg_call_duration,avg_call_duration_all,internal_call_rate,workload_index,intensity_index,hei,call_loss_pressure,norm_volume,cluster_kmeans,cluster_dbscan,cluster_hier
879896.0,159,2651.0,41,11,0.7421383647798743,64.65853658536585,0.2578616352201258,1.7754758561982216,1.4023666137245034,0.5815552218752937,64.65853658536585,16.67295597484277,0.06918238993710692,2651.0,10991.951219512195,0.01546003016591252,118.00000000000001,0.3312368972746332,0,-1,1
879898.0,137,4902.0,74,16,0.45985401459854014,66.24324324324324,0.5401459854014599,1.43909631948724,3.1944789662160784,-0.19674472200422077,66.24324324324324,35.78102189781022,0.11678832116788321,4902.0,10135.216216216219,0.015092800326330818,63.0,0.28511530398322854,0,-1,2
880020.0,36,721.0,14,3,0.6111111111111112,51.5,0.3888888888888889,-0.1051915535949938,-0.13418462586178692,0.22029359291295073,51.5,20.02777777777778,0.08333333333333333,721.0,2008.4999999999998,0.019390581717451522,22.0,0.07337526205450735,1,0,3
880022.0,136,2934.0,31,8,0.7720588235294118,94.64516129032258,0.22794117647058823,1.4238063405458317,1.6276743861612497,0.6640503773830475,94.64516129032258,21.573529411764707,0.058823529411764705,2934.0,13628.903225806453,0.010562180579216355,105.0,0.28301886792452835,0,-1,1
880026.0,405,952.0,19,13,0.9530864197530864,50.10526315789474,0.04691358024691358,5.536810675784653,0.04972383856538046,1.1631703884322675,50.10526315789474,2.3506172839506174,0.03209876543209877,952.0,20944.000000000004,0.01993704092339979,386.0,0.8469601677148847,0,-1,1
880028.0,299,4070.0,47,7,0.842809364548495,86.59574468085107,0.15719063545150502,3.9160729079953778,2.5320900380628175,0.8591201432741603,86.59574468085107,13.612040133779264,0.023411371237458192,4070.0,26498.297872340427,0.011545074920167035,252.0,0.6247379454926625,0,-1,1
880240.0,21,436.0,4,5,0.8095238095238095,109.0,0.19047619047619047,-0.33454123771611766,-0.3610846793758246,0.7673469167702129,109.0,20.761904761904763,0.23809523809523808,436.0,2834.0,0.009153318077803204,17.0,0.041928721174004195,1,-1,3
881278.0,17,0.0,0,3,1.0,0.0,0.0,-0.39570115348175067,-0.7082019542253699,1.2925181076731846,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,17.0,0.033542976939203356,1,0,3
882476.0,3,192.0,3,0,0.0,64.0,1.0,-0.6097608586614662,-0.5553429708053866,-1.4646306445674173,64.0,64.0,0.0,192.0,192.0,0.015544041450777202,0.0,0.0041928721174004195,1,0,3
882478.0,4,68.0,3,2,0.25,22.666666666666668,0.75,-0.594470879720058,-0.6540643975974593,-0.7753434565072668,22.666666666666668,17.0,0.5,68.0,136.0,0.043478260869565216,1.0,0.006289308176100629,1,0,3
882680.0,37,1922.0,34,2,0.08108108108108103,56.529411764705884,0.918918918918919,-0.08990157465358553,0.8219801610517544,-1.2410780430343957,56.529411764705884,51.945945945945944,0.05405405405405406,1922.0,2204.6470588235293,0.01768070722828913,2.9999999999999982,0.07547169811320756,1,0,3
882684.0,214,2897.0,21,3,0.9018691588785047,137.95238095238096,0.09813084112149532,2.616424697975676,1.598217186231357,1.0219567815187331,137.95238095238096,13.537383177570094,0.014018691588785047,2897.0,29935.666666666668,0.007246376811594203,193.0,0.4465408805031447,0,-1,1
882686.0,206,2736.0,27,6,0.8689320388349515,101.33333333333333,0.13106796116504854,2.4941048664444097,1.4700385595093919,0.9311442420882515,101.33333333333333,13.281553398058252,0.02912621359223301,2736.0,21482.666666666664,0.009864815491413957,179.0,0.42976939203354303,0,-1,1
882688.0,18,400.0,3,0,0.8333333333333334,133.33333333333334,0.16666666666666666,-0.3804111745403424,-0.38974573876707147,0.8329933156330844,133.33333333333334,22.22222222222222,0.0,400.0,2400.0,0.007481296758104738,15.0,0.03563941299790357,1,0,2
882690.0,38,148.0,5,1,0.868421052631579,29.6,0.13157894736842105,-0.07461159571217728,-0.5903731545057995,0.9297353771152108,29.6,3.8947368421052633,0.02631578947368421,148.0,1154.4,0.03355704697986577,33.0,0.07756813417190776,1,0,3
883018.0,2,0.0,0,0,1.0,0.0,0.0,-0.6250508376028745,-0.7082019542253699,1.2925181076731846,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0020964360587002098,1,0,3
883898.0,1,70.0,1,0,0.0,70.0,1.0,-0.6403408165442828,-0.6524721165201677,-1.4646306445674173,70.0,70.0,0.0,70.0,70.0,0.014084507042253521,0.0,0.0,1,0,3
883940.0,57,353.0,6,0,0.8947368421052632,58.833333333333336,0.10526315789473684,0.21589800417457958,-0.4271643440834215,1.0022919232268055,58.833333333333336,6.192982456140351,0.0,353.0,3353.5,0.01694915254237288,51.0,0.11740041928721175,1,0,3
883942.0,245,2291.0,29,1,0.8816326530612245,79.0,0.11836734693877551,3.090414045159332,1.1157560198120349,0.9661617247549095,79.0,9.351020408163265,0.004081632653061225,2291.0,19434.0,0.012652705061082025,216.0,0.5115303983228512,0,-1,1
884294.0,1,5.0,1,0,0.0,5.0,1.0,-0.6403408165442828,-0.7042212515321412,-1.4646306445674173,5.0,5.0,0.0,5.0,5.0,0.16666666666666666,0.0,0.0,1,0,3
884402.0,4,214.0,3,2,0.25,71.33333333333333,0.75,-0.594470879720058,-0.5378278789551802,-0.7753434565072668,71.33333333333333,53.5,0.5,214.0,428.0,0.013953488372093023,1.0,0.006289308176100629,1,-1,3
